# tos_view packet template -- GENERATED by name_fields.py, do not edit.
# Names are guesses unless the origin column says otherwise; see
# docs/14-field-names.md for what each origin is worth.
#
# P<TAB>opcode<TAB>name<TAB>size<TAB>coverage
# F<TAB>offset<TAB>type<TAB>bytes<TAB>name<TAB>fmt<TAB>origin<TAB>note
P	8	BC_COMMANDER_CREATE_SLOTID	11	exact
F	62	bytes[12]	12	f_3E			no samples
F	74	u8	1	f_4A			no samples
F	75	u32	4	f_4B			no samples
P	3110	ZC_MOVE_DIR	76	exact
F	10	u32	4	handle	hex	docs/02	
F	14	f32[3]	12	pos		docs/02	
F	26	f32[2]	8	dir		docs/02	
F	34	u8	1	moving	bool	docs/02	
F	35	f32	4	speed		docs/02	35.0 throughout that session, 48.0 in the 2026-08-01 one
F	39	f32	4	server_time	time	docs/02	
F	43	bytes[16]	16	zero		bytes	1151 samples
F	59	u64	8	zero		bytes	1151 samples
F	67	u32	4	stance		docs/02	zone-side, 6 while moving
F	71	u32	4	f_47			1151 samples
F	75	u8	1	one		docs/02	always 1
P	3111	ZC_EXPECTED_STOPPOS	39	partial
F	10	u32	4	handle	hex	ida:sub_140AC71B0	no samples
F	14	bytes[12]	12	f_0E			no samples
F	26	u64	8	f_1A			no samples
P	3112	ZC_MSPD	26	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	41272 samples
F	14	f32	4	f_0E			41272 samples
F	18	u64	8	f_12			41272 samples
P	3113	ZC_MOVE_SPEED	31	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	404 samples
F	14	f32[2]	8	vec2		bytes	404 samples
F	22	u8	1	zero		bytes	404 samples
F	23	u64	8	f_17			404 samples
P	3114	ZC_MOVE_STOP	27	partial
F	10	u32	4	handle	hex	ida:sub_140AC71B0	2901 samples
F	14	f32[2]	8	vec2		bytes	2901 samples
F	22	f32	4	f_16			2901 samples
P	3115	ZC_REST_SIT	16	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	no samples
F	14	u8	1	f_0E			no samples
F	15	u8	1	mode		ida:cmp	no samples
P	3116	ZC_JUMP	71	partial
F	10	u32	4	handle	hex	docs/02	
F	14	f32	4	jump_power		docs/02	constant 350.0
F	18	u32	4	zero		bytes	28 samples
F	22	u8	1	zero		bytes	28 samples
F	23	f32[3]	12	pos		docs/02	
F	35	f32[2]	8	dir		docs/02	
F	43	f32	4	server_time	time	docs/02	
P	3117	ZC_JUMP_DIR	63	partial
F	10	u32	4	f_0A			no samples
F	14	bytes[12]	12	f_0E			no samples
F	26	u64	8	f_1A			no samples
F	34	u8	1	f_22			no samples
P	3119	ZC_SKILL_JUMP	42	partial
F	10	u32	4	handle	hex	ida:sub_140AD5920	no samples
F	14	u32	4	f_0E			no samples
F	18	bytes[12]	12	f_12			no samples
F	30	u64	8	f_1E			no samples
P	3120	ZC_SET_POS	27	partial
F	10	u32	4	handle	hex	census	14 samples
F	14	f32[2]	8	vec2		bytes	14 samples
F	22	f32	4	f_16			14 samples
P	3124	ZC_CHAT	0	variable
F	10	u16	2	size		docs/03	
F	12	u32	4	handle	hex	docs/03	
F	16	str[64]	64	name	text	docs/03	
F	80	str[64]	64	team_name	text	docs/03	
F	146	u16	2	class_id	hex	docs/03	
F	148	u16	2	job_id	hex	docs/03	
F	152	u8	1	channel		docs/03	8 = say
F	156	u8	1	one	bool	docs/03	
F	158	u8	1	unk_9E	hex	docs/03	0x1A observed
F	180	u32	4	unk_B4	hex	docs/03	0x03E9
F	184	u32	4	unk_B8	hex	docs/03	0x01CC
F	188	u32	4	name_colour	hex	docs/03	RGBA
F	192	u16	2	class_a	hex	docs/03	
F	194	u16	2	class_b	hex	docs/03	
F	196	u16	2	class_c	hex	docs/03	
F	212	u8	1	one_D4	bool	docs/03	
F	213	str[64]	64	balloon_skin	text	docs/03	what puts the text at 277
F	277	str[0]	0	text	text	docs/03	
P	3126	ZC_STANCE_CHANGE	18	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	6 samples
F	14	u32	4	f_0E			6 samples
P	3127	ZC_ADD_HP	26	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	18 samples
F	14	u32	4	f_0E			18 samples
F	18	u32	4	mode		ida:cmp	18 samples
F	22	u32	4	f_16			18 samples
P	3128	ZC_SKILL_CAST_CANCEL	14	exact
F	10	u32	4	f_0A			61 samples
P	3129	ZC_SKILL_CAST	42	exact
F	10	u32	4	f_0A			no samples
F	14	u32	4	f_0E			no samples
F	18	u32	4	f_12			no samples
F	22	u64	8	f_16			no samples
F	30	bytes[12]	12	f_1E			no samples
P	3130	ZC_SKILL_READY	54	exact
F	10	u32	4	handle	hex	ida:sub_140AD5920	22 samples
F	14	bytes[16]	16	f_0E			22 samples
F	30	bytes[12]	12	f_1E			22 samples
F	42	bytes[12]	12	f_2A			22 samples
P	3131	ZC_SKILL_DISABLE	19	partial
F	10	u32	4	handle	hex	ida:sub_140AC71B0	10 samples
F	14	u8	1	zero		bytes	10 samples
P	3132	ZC_SKILL_USE_CANCEL	14	exact
F	10	u32	4	f_0A			no samples
P	3133	ZC_SKILL_MELEE_TARGET	0	variable
F	12	u32	4	const	hex	bytes	2 samples
F	16	bytes[40]	40	f_10			2 samples
F	56	u32	4	handle	hex	census	2 samples
F	60	u8	1	flag	bool	bytes	2 samples
F	61	u32	4	f_3D			2 samples
P	3134	ZC_SKILL_MELEE_GROUND	0	variable
F	12	u32	4	f_0C			25 samples
F	16	bytes[40]	40	f_10			25 samples
F	56	bytes[12]	12	f_38			25 samples
F	68	u8	1	f_44			25 samples
F	69	u8	1	zero		bytes	25 samples
F	70	u32	4	f_46			5 samples
P	3135	ZC_SKILL_FORCE_TARGET	0	variable
F	12	u32	4	const	hex	bytes	1 samples
F	16	bytes[28]	28	const		bytes	1 samples
F	44	u32	4	const	hex	bytes	1 samples
F	56	u32	4	handle	hex	census	1 samples
F	60	bytes[12]	12	const		bytes	1 samples
F	72	u8	1	flag	bool	bytes	1 samples
F	73	u32	4	const	hex	bytes	1 samples
P	3136	ZC_SKILL_FORCE_GROUND	0	variable
F	12	u32	4	f_0C			no samples
F	16	bytes[28]	28	f_10			no samples
F	44	u32	4	f_2C			no samples
F	56	u32	4	f_38			no samples
